Brand,Product Name,Category,Ingredient Details,Ingredient Types,Is Harmful?,Reason for Harmful,Daily Limit,Suitable for Kids,Suitable for Teens,Suitable for Elderly,Nutritional Impact,Healthy Alternative,Alternative Description,Translation Availability,Harmful Ingredient Count,Total Ingredients,Country of Manufacturing,Expiration Detail
Lipton,Peach Iced Tea with Honey,Iced Tea,"Black Tea Extract, Peach Flavor, Honey","Tea Extract, Flavor, Honey",No,May contain added sugar from honey,Moderate Consumption,Limited,Limited,Limited,Low in nutrients,Unsweetened Iced Tea,Iced tea without added sugar,Yes,1,3,Varies by Region,Varies by Product
Lipton,Raspberry Iced Tea with Honey,Iced Tea,"Black Tea Extract, Raspberry Flavor, Honey","Tea Extract, Flavor, Honey",No,May contain added sugar from honey,Moderate Consumption,Limited,Limited,Limited,Low in nutrients,Unsweetened Iced Tea,Iced tea without added sugar,Yes,1,3,Varies by Region,Varies by Product
Lipton,Green Tea with Jasmine,Iced Tea,"Green Tea Extract, Jasmine Flavor, Sugar","Tea Extract, Flavor, Sugar",Yes,High Sugar Content,Limit to Occasional Consumption,Limited,Limited,Limited,Low in nutrients,Unsweetened Green Tea,Green tea without added sugar,Yes,1,3,Varies by Region,Varies by Product
Lipton,Green Tea with Jasmine (Unsweetened),Iced Tea,"Green Tea Extract, Jasmine Flavor","Tea Extract, Flavor",No,May contain caffeine,Moderate Consumption,Limited (due to caffeine),Yes,Limited (due to caffeine),Low in nutrients,Water,Plain water,Yes,0,2,Varies by Region,Varies by Product
Lipton,Green Tea with Mint,Iced Tea,"Green Tea Extract, Mint Flavor, Sugar","Tea Extract, Flavor, Sugar",Yes,High Sugar Content,Limit to Occasional Consumption,Limited,Limited,Limited,Low in nutrients,Unsweetened Green Tea,Green tea without added sugar,Yes,1,3,Varies by Region,Varies by Product
Lipton,Green Tea with Mint (Unsweetened),Iced Tea,"Green Tea Extract, Mint Flavor","Tea Extract, Flavor",No,May contain caffeine,Moderate Consumption,Limited (due to caffeine),Yes,Limited (due to caffeine),Low in nutrients,Water,Plain water,Yes,0,2,Varies by Region,Varies by Product
Lipton,Green Tea with Lemon,Iced Tea,"Green Tea Extract, Lemon Flavor, Sugar","Tea Extract, Flavor, Sugar",Yes,High Sugar Content,Limit to Occasional Consumption,Limited,Limited,Limited,Low in nutrients,Unsweetened Green Tea,Green tea without added sugar,Yes,1,3,Varies by Region,Varies by Product
Lipton,Green Tea with Lemon (Unsweetened),Iced Tea,"Green Tea Extract, Lemon Flavor","Tea Extract, Flavor",No,May contain caffeine,Moderate Consumption,Limited (due to caffeine),Yes,Limited (due to caffeine),Low in nutrients,Water,Plain water,Yes,0,2,Varies by Region,Varies by Product
Lipton,Green Tea with Honey,Iced Tea,"Green Tea Extract, Honey","Tea Extract, Honey",No,May contain added sugar from honey,Moderate Consumption,Limited,Limited,Limited,Low in nutrients,Unsweetened Green Tea,Green tea without added sugar,Yes,1,2,Varies by Region,Varies by Product
Lipton,Lemon Iced Tea with Honey,Iced Tea,"Black Tea Extract, Lemon Flavor, Honey","Tea Extract, Flavor, Honey",No,May contain added sugar from honey,Moderate Consumption,Limited,Limited,Limited,Low in nutrients,Unsweetened Iced Tea,Iced tea without added sugar,Yes,1,3,Varies by Region,Varies by Product
Lipton,Peach Iced Tea with Honey,Iced Tea,"Black Tea Extract, Peach Flavor, Honey","Tea Extract, Flavor, Honey",No,May contain added sugar from honey,Moderate Consumption,Limited,Limited,Limited,Low in nutrients,Unsweetened Iced Tea,Iced tea without added sugar,Yes,1,3,Varies by Region,Varies by Product
Tetley,English Breakfast Tea,Black Tea,Black Tea Leaves (blend of Assam and Ceylon),Tea Leaves,No,May contain caffeine,Moderate Consumption,Limited (due to caffeine),Yes,Limited (due to caffeine),Source of antioxidants,Black Tea (plain),Black tea without added flavorings,Yes,0,1,Varies by Region,Varies by Product
Tetley,Earl Grey Tea,Black Tea,"Black Tea Leaves, Bergamot Oil","Tea Leaves, Natural Flavoring",No,May contain caffeine,Moderate Consumption,Limited (due to caffeine),Yes,Limited (due to caffeine),Source of antioxidants,Black Tea (plain),Black tea without added flavorings,Yes,0,2,Varies by Region,Varies by Product
Tetley,Darjeeling Tea,Black Tea,"Black Tea Leaves (from Darjeeling, India)",Tea Leaves,No,May contain caffeine,Moderate Consumption,Limited (due to caffeine),Yes,Limited (due to caffeine),Source of antioxidants,Black Tea (plain),Black tea without added flavorings,Yes,0,1,Varies by Region,Varies by Product
Tetley,Assam Tea,Black Tea,"Black Tea Leaves (from Assam, India)",Tea Leaves,No,May contain caffeine,Moderate Consumption,Limited (due to caffeine),Yes,Limited (due to caffeine),Source of antioxidants,Black Tea (plain),Black tea without added flavorings,Yes,0,1,Varies by Region,Varies by Product
Tetley,Ceylon Tea,Black Tea,Black Tea Leaves (from Sri Lanka),Tea Leaves,No,May contain caffeine,Moderate Consumption,Limited (due to caffeine),Yes,Limited (due to caffeine),Source of antioxidants,Black Tea (plain),Black tea without added flavorings,Yes,0,1,Varies by Region,Varies by Product
Tetley,Green Tea,Green Tea,Green Tea Leaves,Tea Leaves,No,May contain caffeine,Moderate Consumption,Limited (due to caffeine),Yes,Limited (due to caffeine),Source of antioxidants,"Herbal Teas (Chamomile, Peppermint)",Herbal teas with no added flavors,Yes,0,1,Varies by Region,Varies by Product
Tetley,Decaffeinated Green Tea,Green Tea,Decaffeinated Green Tea Leaves,Tea Leaves,No,"No, minimal caffeine",Moderate Consumption,Yes,Yes,Yes,Source of antioxidants,"Herbal Teas (Chamomile, Peppermint)",Herbal teas with no added flavors,Yes,0,1,Varies by Region,Varies by Product
Tetley,Jasmine Green Tea,Green Tea,"Green Tea Leaves, Jasmine Flowers","Tea Leaves, Natural Flavoring",No,May contain caffeine,Moderate Consumption,Limited (due to caffeine),Yes,Limited (due to caffeine),Source of antioxidants,Green Tea (plain),Green tea without added flavorings,Yes,0,2,Varies by Region,Varies by Product
Tetley,Peppermint Tea,Herbal Tea,Peppermint Leaves,Herbal Ingredients,No,May contain caffeine (trace amounts),Moderate Consumption,Yes,Yes,Yes,Calming and soothing properties,Chamomile Tea,Chamomile tea,Yes,0,1,Varies by Region,Varies by Product
Tetley,Chamomile Tea,Herbal Tea,Chamomile Flowers,Herbal Ingredients,No,CaffeineNot Applicablefree,Moderate Consumption,Yes,Yes,Yes,Calming and soothing properties,"Other Herbal Teas (Lavender, Lemon Balm)",Other calming herbal teas,Yes,0,1,Varies by Region,Varies by Product
Tetley,Lemon & Ginger Tea,Herbal Tea,"Ginger Root, Lemon Peel",Herbal Ingredients,No,May contain caffeine (trace amounts),Moderate Consumption,Yes,Yes,Yes,May aid digestion,Ginger Root Tea,Ginger root tea,Yes,0,2,Varies by Region,Varies by Product
Tetley,Honey & Lemon Tea,Black Tea,"Black Tea Leaves, Lemon Flavor, Honey Flavor","Tea Leaves, Flavors",No,May contain added sugars (from honey flavor),Moderate Consumption,Limited,Limited,Limited,Low in nutrients,Black Tea (plain),Black tea without added flavorings,Yes,1,3,Varies by Region,Varies by Product
Tetley,Superblends Immunity Boost,Herbal Tea,"Various Herbs (e.g., Echinacea, Ginger, Lemon)",Herbal Ingredients,No,May contain caffeine (trace amounts),Moderate Consumption,Yes,Yes,Yes,May support immune function,"Other Herbal Teas (Echinacea, Ginger)",Teas with individual herbs,Yes,0,2Not Applicable5 (varies by blend),Varies by Region,Varies by Product
Tetley,Superblends Detox,Herbal Tea,"Various Herbs (e.g., Dandelion, Burdock, Nettle)",Herbal Ingredients,No,May contain caffeine (trace amounts),Moderate Consumption,Yes,Yes,Yes,May support detoxification,"Other Herbal Teas (Dandelion, Nettle)",Teas with individual herbs,Yes,0,2Not Applicable5 (varies by blend),Varies by Region,Varies by Product
Tetley,Superblends Relax,Herbal Tea,"Various Herbs (e.g., Chamomile, Lavender, Valerian Root)",Herbal Ingredients,No,May contain caffeine (trace amounts),Moderate Consumption,Limited,Yes,Yes,May promote relaxation,Chamomile Tea,Chamomile tea,Yes,0,2Not Applicable5 (varies by blend),Varies by Region,Varies by Product
Tetley,Superblends Energy,Herbal Tea,"Various Herbs (e.g., Guarana, Ginseng, Green Tea)",Herbal Ingredients,No,May contain caffeine,Moderate Consumption,Limited,Yes,Limited,May provide a mild energy boost,Green Tea,Green tea,Yes,0,2Not Applicable5 (varies by blend),Varies by Region,Varies by Product
Tetley,Lemon & Ginger Infusion,Herbal Tea,"Ginger Root, Lemon Peel",Herbal Ingredients,No,May contain caffeine (trace amounts),Moderate Consumption,Yes,Yes,Yes,May aid digestion,Ginger Root Tea,Ginger root tea,Yes,0,2,Varies by Region,Varies by Product
Tetley,Green Tea with Jasmine,Green Tea,"Green Tea Leaves, Jasmine Flowers","Tea Leaves, Natural Flavoring",No,May contain caffeine,Moderate Consumption,Limited (due to caffeine),Yes,Limited (due to caffeine),Source of antioxidants,Green Tea (plain),Green tea without added flavorings,Yes,0,2,Varies by Region,Varies by Product
Tetley,Peppermint & Spearmint Infusion,Herbal Tea,"Peppermint Leaves, Spearmint Leaves",Herbal Ingredients,No,May contain caffeine (trace amounts),Moderate Consumption,Yes,Yes,Yes,Calming and refreshing,Peppermint Tea,Peppermint tea,Yes,0,2,Varies by Region,Varies by Product
Tetley,Camomile & Honeybush Infusion,Herbal Tea,"Chamomile Flowers, Honeybush",Herbal Ingredients,No,CaffeineNot Applicablefree,Moderate Consumption,Yes,Yes,Yes,Calming and soothing,Chamomile Tea,Chamomile tea,Yes,0,2,Varies by Region,Varies by Product
Tetley,Fruit Infusion Not Applicable Raspberry & Blackcurrant,Herbal Infusion,"Raspberry Flavor, Blackcurrant Flavor",Flavors,No,May contain added sugars (from flavors),Moderate Consumption,Limited,Limited,Limited,Low in nutrients,Plain Water,Plain water,Yes,1,2,Varies by Region,Varies by Product
Tetley,Fruit Infusion Not Applicable Strawberry & Hibiscus,Herbal Infusion,"Strawberry Flavor, Hibiscus Flowers","Flavors, Herbal Ingredients",No,May contain added sugars (from flavors),Moderate Consumption,Limited,Limited,Limited,Low in nutrients,Hibiscus Tea,Hibiscus tea,Yes,1,2,Varies by Region,Varies by Product
Tetley,Fruit Infusion Not Applicable Apple & Cinnamon,Herbal Infusion,"Apple Flavor, Cinnamon Flavor",Flavors,No,May contain added sugars (from flavors),Moderate Consumption,Limited,Limited,Limited,Low in nutrients,Plain Water,Plain water,Yes,1,2,Varies by Region,Varies by Product
Tetley,Fruit Infusion Not Applicable Mango & Passionfruit,Herbal Infusion,"Mango Flavor, Passionfruit Flavor",Flavors,No,May contain added sugars (from flavors),Moderate Consumption,Limited,Limited,Limited,Low in nutrients,Plain Water,Plain water,Yes,1,2,Varies by Region,Varies by Product
Tetley,Superblends Immunity Boost,Herbal Tea,"Various Herbs (e.g., Echinacea, Ginger, Lemon)",Herbal Ingredients,No,May contain caffeine (trace amounts),Moderate Consumption,Yes,Yes,Yes,May support immune function,"Other Herbal Teas (Echinacea, Ginger)",Teas with individual herbs,Yes,0,2Not Applicable5 (varies by blend),Varies by Region,Varies by Product
Bru,Bru Gold Leaf,Black Tea,Black Tea Leaves,Tea Leaves,No,May contain caffeine,Moderate Consumption,Limited (due to caffeine),Yes,Limited (due to caffeine),Source of antioxidants,Black Tea (plain),Black tea without added flavorings,Yes,0,1,India,Varies by Product
Bru,Bru Gold Leaf Special,Black Tea,Black Tea Leaves (Special Blend),Tea Leaves,No,May contain caffeine,Moderate Consumption,Limited (due to caffeine),Yes,Limited (due to caffeine),Source of antioxidants,Black Tea (plain),Black tea without added flavorings,Yes,0,1,India,Varies by Product
Bru,Bru Gold Leaf Strong,Black Tea,Black Tea Leaves (Strong Blend),Tea Leaves,No,May contain caffeine,Moderate Consumption,Limited (due to caffeine),Yes,Limited (due to caffeine),Source of antioxidants,Black Tea (plain),Black tea without added flavorings,Yes,0,1,India,Varies by Product
Bru,Bru Green Tea,Green Tea,Green Tea Leaves,Tea Leaves,No,May contain caffeine,Moderate Consumption,Limited (due to caffeine),Yes,Limited (due to caffeine),Source of antioxidants,"Herbal Teas (Chamomile, Peppermint)",Herbal teas with no added flavors,Yes,0,1,India,Varies by Product
Bru,Bru Lemon Green Tea,Green Tea,"Green Tea Leaves, Lemon Flavor","Tea Leaves, Natural Flavoring",No,May contain caffeine,Moderate Consumption,Limited (due to caffeine),Yes,Limited (due to caffeine),Source of antioxidants,Green Tea (plain),Green tea without added flavorings,Yes,0,2,India,Varies by Product
Bru,Bru Ginger Lemon Green Tea,Green Tea,"Green Tea Leaves, Ginger Root, Lemon Flavor","Tea Leaves, Natural Flavoring",No,May contain caffeine,Moderate Consumption,Limited (due to caffeine),Yes,Limited (due to caffeine),Source of antioxidants,Green Tea (plain),Green tea without added flavorings,Yes,0,3,India,Varies by Product
Bru,Bru Tulsi Green Tea,Green Tea,"Green Tea Leaves, Tulsi Leaves","Tea Leaves, Herbal Ingredients",No,May contain caffeine,Moderate Consumption,Limited (due to caffeine),Yes,Limited (due to caffeine),Source of antioxidants,Green Tea (plain),Green tea without added flavorings,Yes,0,2,India,Varies by Product
Bru,Bru Tulsi Green Tea Lemon,Green Tea,"Green Tea Leaves, Tulsi Leaves, Lemon Flavor","Tea Leaves, Herbal Ingredients, Natural Flavoring",No,May contain caffeine,Moderate Consumption,Limited (due to caffeine),Yes,Limited (due to caffeine),Source of antioxidants,Green Tea (plain),Green tea without added flavorings,Yes,0,3,India,Varies by Product
Bru,Bru Ginger Tea,Herbal Tea,Ginger Root,Herbal Ingredients,No,May contain caffeine (trace amounts),Moderate Consumption,Yes,Yes,Yes,May aid digestion,Ginger Root Tea (plain),Ginger root tea without added flavorings,Yes,0,1,India,Varies by Product
Bru,Bru Lemon Ginger Tea,Herbal Tea,"Ginger Root, Lemon Flavor","Herbal Ingredients, Natural Flavoring",No,May contain caffeine (trace amounts),Moderate Consumption,Yes,Yes,Yes,May aid digestion,Ginger Root Tea (plain),Ginger root tea without added flavorings,Yes,0,2,India,Varies by Product
Bru,Bru Tulsi Tea,Herbal Tea,Tulsi Leaves,Herbal Ingredients,No,CaffeineNot Applicablefree,Moderate Consumption,Yes,Yes,Yes,May support overall wellNot Applicablebeing,"Other Herbal Teas (Chamomile, Peppermint)",Other calming herbal teas,Yes,0,1,India,Varies by Product
Bru,Bru Tulsi Green Tea Lemon Honey,Green Tea,"Green Tea Leaves, Tulsi Leaves, Lemon Flavor, Honey","Tea Leaves, Herbal Ingredients, Natural Flavoring, Honey",No,May contain added sugars (from honey),Moderate Consumption,Limited,Limited,Limited,Low in nutrients,Green Tea (plain),Green tea without added flavorings,Yes,1,4,India,Varies by Product
Bru,Bru Ginger Lemon Honey,Herbal Tea,"Ginger Root, Lemon Flavor, Honey","Herbal Ingredients, Natural Flavoring, Honey",No,May contain added sugars (from honey),Moderate Consumption,Limited,Limited,Limited,Low in nutrients,Ginger Root Tea (plain),Ginger root tea without added flavorings,Yes,1,3,India,Varies by Product
Bru,Bru Green Tea with Mint,Green Tea,"Green Tea Leaves, Mint Flavor","Tea Leaves, Natural Flavoring",No,May contain caffeine,Moderate Consumption,Limited (due to caffeine),Yes,Limited (due to caffeine),Source of antioxidants,Green Tea (plain),Green tea without added flavorings,Yes,0,2,India,Varies by Product
Bru,Bru Green Tea with Jasmine,Green Tea,"Green Tea Leaves, Jasmine Flowers","Tea Leaves, Natural Flavoring",No,May contain caffeine,Moderate Consumption,Limited (due to caffeine),Yes,Limited (due to caffeine),Source of antioxidants,Green Tea (plain),Green tea without added flavorings,Yes,0,2,India,Varies by Product
Bru,Bru Lemon Iced Tea,Iced Tea,"Black Tea Extract, Lemon Flavor, Sugar","Tea Extract, Flavor, Sugar",Yes,High Sugar Content,Limit to Occasional Consumption,Limited,Limited,Limited,Low in nutrients,Unsweetened Iced Tea,Iced tea without added sugar,Yes,1,3,India,Varies by Product
Bru,Bru Lemon Iced Tea (Unsweetened),Iced Tea,"Black Tea Extract, Lemon Flavor","Tea Extract, Flavor",No,May contain caffeine,Moderate Consumption,Limited (due to caffeine),Yes,Limited (due to caffeine),Low in nutrients,Water,Plain water,Yes,0,2,India,Varies by Product
Bru,Bru Ginger Iced Tea,Iced Tea,"Black Tea Extract, Ginger Flavor, Sugar","Tea Extract, Flavor, Sugar",Yes,High Sugar Content,Limit to Occasional Consumption,Limited,Limited,Limited,Low in nutrients,Unsweetened Iced Tea,Iced tea without added sugar,Yes,1,3,India,Varies by Product
Bru,Bru Ginger Iced Tea (Unsweetened),Iced Tea,"Black Tea Extract, Ginger Flavor","Tea Extract, Flavor",No,May contain caffeine,Moderate Consumption,Limited (due to caffeine),Yes,Limited (due to caffeine),Low in nutrients,Water,Plain water,Yes,0,2,India,Varies by Product
Bru,Bru Lemon Ginger Iced Tea,Iced Tea,"Black Tea Extract, Lemon Flavor, Ginger Flavor, Sugar","Tea Extract, Flavor, Sugar",Yes,High Sugar Content,Limit to Occasional Consumption,Limited,Limited,Limited,Low in nutrients,Unsweetened Iced Tea,Iced tea without added sugar,Yes,1,4,India,Varies by Product
Bru,Bru Lemon Ginger Iced Tea (Unsweetened),Iced Tea,"Black Tea Extract, Lemon Flavor, Ginger Flavor","Tea Extract, Flavor",No,May contain caffeine,Moderate Consumption,Limited (due to caffeine),Yes,Limited (due to caffeine),Low in nutrients,Water,Plain water,Yes,0,3,India,Varies by Product
Bru,Bru Green Tea Iced Tea,Iced Tea,"Green Tea Extract, Sugar","Tea Extract, Sugar",Yes,High Sugar Content,Limit to Occasional Consumption,Limited,Limited,Limited,Low in nutrients,Unsweetened Green Tea,Green tea without added sugar,Yes,1,2,India,Varies by Product
Bru,Bru Green Tea Iced Tea (Unsweetened),Iced Tea,Green Tea Extract,Tea Extract,No,May contain caffeine,Moderate Consumption,Limited (due to caffeine),Yes,Limited (due to caffeine),Low in nutrients,Water,Plain water,Yes,0,1,India,Varies by Product
Bru,Bru Lemon Green Tea Iced Tea,Iced Tea,"Green Tea Extract, Lemon Flavor, Sugar","Tea Extract, Flavor, Sugar",Yes,High Sugar Content,Limit to Occasional Consumption,Limited,Limited,Limited,Low in nutrients,Unsweetened Green Tea,Green tea without added sugar,Yes,1,3,India,Varies by Product
Bru,Bru Lemon Green Tea Iced Tea (Unsweetened),Iced Tea,"Green Tea Extract, Lemon Flavor","Tea Extract, Flavor",No,May contain caffeine,Moderate Consumption,Limited (due to caffeine),Yes,Limited (due to caffeine),Low in nutrients,Water,Plain water,Yes,0,2,India,Varies by Product
Amul,Pro,PlantNot ApplicableBased Protein Drink,"Water, Pea Protein Isolate, Sugar, Maltodextrin, Cocoa Powder, Flavors, Stabilizers (Guar Gum, Carrageenan), Salt, Vitamins & Minerals (Vitamin B12, Vitamin D2, Calcium Carbonate, Zinc Sulfate, Iron Pyrite)","Water, Protein Source, Sugar, Carbohydrates, Flavors, Stabilizers, Minerals, Vitamins",Yes,High Sugar Content,Limit to Occasional Consumption,Limited,Limited,Limited,"Source of Protein, Vitamins, Minerals",PlantNot ApplicableBased Protein Shakes (unsweetened),PlantNot Applicablebased protein shakes with minimal added sugar,Yes,1,12Not Applicable15 (varies by flavor),India,Varies by Product
Amul,Pro High Protein,PlantNot ApplicableBased Protein Drink,"Water, Pea Protein Isolate, Sugar, Maltodextrin, Cocoa Powder, Flavors, Stabilizers (Guar Gum, Carrageenan), Salt, Vitamins & Minerals (Vitamin B12, Vitamin D2, Calcium Carbonate, Zinc Sulfate, Iron Pyrite)","Water, Protein Source, Sugar, Carbohydrates, Flavors, Stabilizers, Minerals, Vitamins",Yes,High Sugar Content,Limit to Occasional Consumption,Limited,Limited,Limited,"Source of Protein, Vitamins, Minerals",PlantNot ApplicableBased Protein Shakes (unsweetened),PlantNot Applicablebased protein shakes with minimal added sugar,Yes,1,12Not Applicable15 (varies by flavor),India,Varies by Product
Amul,Pro High Protein Low Sugar,PlantNot ApplicableBased Protein Drink,"Water, Pea Protein Isolate, Maltodextrin, Cocoa Powder, Flavors, Sweeteners (Stevia Leaf Extract, Sucralose), Stabilizers (Guar Gum, Carrageenan), Salt, Vitamins & Minerals (Vitamin B12, Vitamin D2, Calcium Carbonate, Zinc Sulfate, Iron Pyrite)","Water, Protein Source, Carbohydrates, Flavors, Sweeteners, Stabilizers, Minerals, Vitamins",Yes,Artificial Sweeteners may have side effects,Limit to Occasional Consumption,Limited,Limited,Limited,"Source of Protein, Vitamins, Minerals",PlantNot ApplicableBased Protein Shakes (unsweetened),PlantNot Applicablebased protein shakes with minimal added sugar,Yes,1,13Not Applicable16 (varies by flavor),India,Varies by Product
Amul,Pro High Protein Low Sugar (Chocolate),PlantNot ApplicableBased Protein Drink,"Water, Pea Protein Isolate, Maltodextrin, Cocoa Powder, Flavors, Sweeteners (Stevia Leaf Extract, Sucralose), Stabilizers (Guar Gum, Carrageenan), Salt, Vitamins & Minerals (Vitamin B12, Vitamin D2, Calcium Carbonate, Zinc Sulfate, Iron Pyrite)","Water, Protein Source, Carbohydrates, Flavors, Sweeteners, Stabilizers, Minerals, Vitamins",Yes,Artificial Sweeteners may have side effects,Limit to Occasional Consumption,Limited,Limited,Limited,"Source of Protein, Vitamins, Minerals",PlantNot ApplicableBased Protein Shakes (unsweetened),PlantNot Applicablebased protein shakes with minimal added sugar,Yes,1,13Not Applicable16 (varies by flavor),India,Varies by Product
Amul,Pro High Protein Low Sugar (Vanilla),PlantNot ApplicableBased Protein Drink,"Water, Pea Protein Isolate, Maltodextrin, Flavors, Sweeteners (Stevia Leaf Extract, Sucralose), Stabilizers (Guar Gum, Carrageenan), Salt, Vitamins & Minerals (Vitamin B12, Vitamin D2, Calcium Carbonate, Zinc Sulfate, Iron Pyrite)","Water, Protein Source, Carbohydrates, Flavors, Sweeteners, Stabilizers, Minerals, Vitamins",Yes,Artificial Sweeteners may have side effects,Limit to Occasional Consumption,Limited,Limited,Limited,"Source of Protein, Vitamins, Minerals",PlantNot ApplicableBased Protein Shakes (unsweetened),PlantNot Applicablebased protein shakes with minimal added sugar,Yes,1,13Not Applicable16 (varies by flavor),India,Varies by Product
Amul,Kool Cafe,ReadyNot ApplicabletoNot ApplicableDrink Coffee,"Milk, Sugar, Coffee, Stabilizer, Flavoring","Milk, Sugar, Coffee, Stabilizer, Flavor",Yes,High Sugar Content,Limit to Occasional Consumption,Limited,Limited,Limited,Source of Calcium,Black Coffee,Black coffee,Yes,1,5,India,Varies by Product
Amul,Kool Cafe (Iced),ReadyNot ApplicabletoNot ApplicableDrink Coffee,"Milk, Sugar, Coffee, Stabilizer, Flavoring","Milk, Sugar, Coffee, Stabilizer, Flavor",Yes,High Sugar Content,Limit to Occasional Consumption,Limited,Limited,Limited,Source of Calcium,Black Coffee (Iced),Black coffee served chilled,Yes,1,5,India,Varies by Product
Amul,Kool Cafe (Hazelnut),ReadyNot ApplicabletoNot ApplicableDrink Coffee,"Milk, Sugar, Coffee, Hazelnut Flavor, Stabilizer","Milk, Sugar, Coffee, Flavor, Stabilizer",Yes,High Sugar Content,Limit to Occasional Consumption,Limited,Limited,Limited,Source of Calcium,Black Coffee,Black coffee,Yes,1,6,India,Varies by Product
Amul,Kool Cafe (Cinnamon),ReadyNot ApplicabletoNot ApplicableDrink Coffee,"Milk, Sugar, Coffee, Cinnamon Flavor, Stabilizer","Milk, Sugar, Coffee, Flavor, Stabilizer",Yes,High Sugar Content,Limit to Occasional Consumption,Limited,Limited,Limited,Source of Calcium,Black Coffee,Black coffee,Yes,1,6,India,Varies by Product
Amul,Kool Cafe (Iced Hazelnut),ReadyNot ApplicabletoNot ApplicableDrink Coffee,"Milk, Sugar, Coffee, Hazelnut Flavor, Stabilizer","Milk, Sugar, Coffee, Flavor, Stabilizer",Yes,High Sugar Content,Limit to Occasional Consumption,Limited,Limited,Limited,Source of Calcium,Black Coffee (Iced),Black coffee served chilled,Yes,1,6,India,Varies by Product
Amul,Kool Cafe (Iced Cinnamon),ReadyNot ApplicabletoNot ApplicableDrink Coffee,"Milk, Sugar, Coffee, Cinnamon Flavor, Stabilizer","Milk, Sugar, Coffee, Flavor, Stabilizer",Yes,High Sugar Content,Limit to Occasional Consumption,Limited,Limited,Limited,Source of Calcium,Black Coffee (Iced),Black coffee served chilled,Yes,1,6,India,Varies by Product
Amul,Kool Cafe (Lite),ReadyNot ApplicabletoNot ApplicableDrink Coffee,"Skimmed Milk, Sugar, Coffee, Stabilizer, Flavoring","Skimmed Milk, Sugar, Coffee, Stabilizer, Flavor",Yes,High Sugar Content,Limit to Occasional Consumption,Limited,Limited,Limited,"Lower in Fat, Source of Calcium",Black Coffee (Lite),Black coffee with skimmed milk,Yes,1,6,India,Varies by Product
Amul,Kool Cafe (Iced Lite),ReadyNot ApplicabletoNot ApplicableDrink Coffee,"Skimmed Milk, Sugar, Coffee, Stabilizer, Flavoring","Skimmed Milk, Sugar, Coffee, Stabilizer, Flavor",Yes,High Sugar Content,Limit to Occasional Consumption,Limited,Limited,Limited,"Lower in Fat, Source of Calcium",Black Coffee (Iced),Black coffee with skimmed milk served chilled,Yes,1,6,India,Varies by Product
Amul,Kool Cafe (Chocolate),ReadyNot ApplicabletoNot ApplicableDrink Coffee,"Milk, Sugar, Coffee, Cocoa Powder, Stabilizer, Flavoring","Milk, Sugar, Coffee, Cocoa Powder, Stabilizer, Flavor",Yes,High Sugar Content,Limit to Occasional Consumption,Limited,Limited,Limited,Source of Calcium,Black Coffee,Black coffee,Yes,1,7,India,Varies by Product
Amul,Kool Cafe (Iced Chocolate),ReadyNot ApplicabletoNot ApplicableDrink Coffee,"Milk, Sugar, Coffee, Cocoa Powder, Stabilizer, Flavoring","Milk, Sugar, Coffee, Cocoa Powder, Stabilizer, Flavor",Yes,High Sugar Content,Limit to Occasional Consumption,Limited,Limited,Limited,Source of Calcium,Black Coffee (Iced),Black coffee served chilled,Yes,1,7,India,Varies by Product
Amul,Kool Cafe (Caramel),ReadyNot ApplicabletoNot ApplicableDrink Coffee,"Milk, Sugar, Coffee, Caramel Flavor, Stabilizer","Milk, Sugar, Coffee, Flavor, Stabilizer",Yes,High Sugar Content,Limit to Occasional Consumption,Limited,Limited,Limited,Source of Calcium,Black Coffee,Black coffee,Yes,1,6,India,Varies by Product
Amul,Kool Cafe (Iced Caramel),ReadyNot ApplicabletoNot ApplicableDrink Coffee,"Milk, Sugar, Coffee, Caramel Flavor, Stabilizer","Milk, Sugar, Coffee, Flavor, Stabilizer",Yes,High Sugar Content,Limit to Occasional Consumption,Limited,Limited,Limited,Source of Calcium,Black Coffee (Iced),Black coffee served chilled,Yes,1,6,India,Varies by Product
Yakult,Yakult Probiotic Drink,Fermented Milk Drink,"Skimmed Milk, Sugar, Dextrose, Lactobacillus casei strain Shirota","Dairy, Sugar, Probiotic",No,Not Applicable,1Not Applicable2 bottles,Yes,Yes,Yes,"Improves gut health, boosts immunity",Homemade Kefir,Homemade kefir made with milk and kefir grains,Yes,0,4,Japan,30 days after manufacturing
Activia,Activia Strawberry Yogurt,Yogurt,"Skimmed Milk, Sugar, Strawberry Puree, Bifidus Regularis","Dairy, Sugar, Fruit",No,Not Applicable,1Not Applicable2 servings,Yes,Yes,Yes,"Improves digestion, strengthens bones",Greek Yogurt,Plain Greek yogurt with added fruit,Yes,0,4,Various (depends on location),21 days after manufacturing
Danone,Danone Actimel Peach,Fermented Milk Drink,"Skimmed Milk, Sugar, Peach Puree, Lactobacillus casei DNNot Applicable114 001","Dairy, Sugar, Fruit, Probiotic",No,Not Applicable,1Not Applicable2 bottles,Yes,Yes,Yes,"Boosts immunity, improves gut health",Homemade Kombucha,Homemade kombucha made with black tea and sugar,Yes,0,4,Various (depends on location),14 days after manufacturing
